iso3,country,year,phase_type,ipc_phase,population_total,gdp_current_usd,poverty_rate,brd_deaths,one_sided_deaths,Climate: Standard Deviation,Climate: Temperature change,Crop: Maize (corn) - Production,Crop: Maize (corn) - Yield,Crop: Millet - Production,Crop: Millet - Yield,Crop: Rice - Production,Crop: Rice - Yield,Crop: Sorghum - Production,Crop: Sorghum - Yield,Crop: Wheat - Production,Crop: Wheat - Yield
AFG,Afghanistan,2017,current,2,35688935,18753456498,,18974,96,1.183529412,1.454823529,173912,1295.7,4850.97,1628,505100,4614.8,,,4280776,2034.2
AFG,Afghanistan,2017,proj1,1,35688935,18753456498,,18974,96,1.183529412,1.454823529,173912,1295.7,4850.97,1628,505100,4614.8,,,4280776,2034.2
AFG,Afghanistan,2017,proj2,1,35688935,18753456498,,18974,96,1.183529412,1.454823529,173912,1295.7,4850.97,1628,505100,4614.8,,,4280776,2034.2
AFG,Afghanistan,2018,current,3,36743039,18053222687,,25679,122,1.183529412,1.642470588,106670,1472.7,2304.5,1814.9,525500,4470.9,,,3613300,2210
AFG,Afghanistan,2018,proj1,3,36743039,18053222687,,25679,122,1.183529412,1.642470588,106670,1472.7,2304.5,1814.9,525500,4470.9,,,3613300,2210
AFG,Afghanistan,2018,proj2,1,36743039,18053222687,,25679,122,1.183529412,1.642470588,106670,1472.7,2304.5,1814.9,525500,4470.9,,,3613300,2210
AFG,Afghanistan,2019,current,2,37856121,18799444490,,29903,196,1.183529412,0.962,184671,1945.7,2714,1937.2,570900,4476.6,,,4890000,2095.1
AFG,Afghanistan,2019,proj1,1,37856121,18799444490,,29903,196,1.183529412,0.962,184671,1945.7,2714,1937.2,570900,4476.6,,,4890000,2095.1
AFG,Afghanistan,2019,proj2,1,37856121,18799444490,,29903,196,1.183529412,0.962,184671,1945.7,2714,1937.2,570900,4476.6,,,4890000,2095.1
AFG,Afghanistan,2020,current,2,39068979,19955929052,,20475,174,1.183529412,0.343647059,271776,1934.4,1895,1318.7,655400,4441.7,,,5185000,1943.4
AFG,Afghanistan,2020,proj1,2,39068979,19955929052,,20475,174,1.183529412,0.343647059,271776,1934.4,1895,1318.7,655400,4441.7,,,5185000,1943.4
AFG,Afghanistan,2020,proj2,1,39068979,19955929052,,20475,174,1.183529412,0.343647059,271776,1934.4,1895,1318.7,655400,4441.7,,,5185000,1943.4
AFG,Afghanistan,2021,current,2,40000412,14259995441,,35593,243,1.183529412,1.608764706,264314,1900.4,1550,1583.2,622300,4406.5,,,4017657,1963.1
AFG,Afghanistan,2021,proj1,2,40000412,14259995441,,35593,243,1.183529412,1.608764706,264314,1900.4,1550,1583.2,622300,4406.5,,,4017657,1963.1
AFG,Afghanistan,2021,proj2,1,40000412,14259995441,,35593,243,1.183529412,1.608764706,264314,1900.4,1550,1583.2,622300,4406.5,,,4017657,1963.1
AFG,Afghanistan,2022,current,2,40578842,14497243872,,870,189,1.183529412,1.909117647,311000,2237.4,1913,1577.1,592000,4625,,,3802895,2045.3
AFG,Afghanistan,2022,proj1,2,40578842,14497243872,,870,189,1.183529412,1.909117647,311000,2237.4,1913,1577.1,592000,4625,,,3802895,2045.3
AFG,Afghanistan,2022,proj2,1,40578842,14497243872,,870,189,1.183529412,1.909117647,311000,2237.4,1913,1577.1,592000,4625,,,3802895,2045.3
AFG,Afghanistan,2023,current,2,41454761,17152234637,,223,43,1.183529412,1.898411765,363000,2858.3,1824.12,1597.9,597000,4627.9,,,4300000,2146.7
AFG,Afghanistan,2023,proj1,2,41454761,17152234637,,223,43,1.183529412,1.898411765,363000,2858.3,1824.12,1597.9,597000,4627.9,,,4300000,2146.7
AFG,Afghanistan,2023,proj2,1,41454761,17152234637,,223,43,1.183529412,1.898411765,363000,2858.3,1824.12,1597.9,597000,4627.9,,,4300000,2146.7
AFG,Afghanistan,2024,current,2,42647492,,,133,,1.183529412,1.984705882,,,,,,,,,,
AFG,Afghanistan,2024,proj1,2,42647492,,,133,,1.183529412,1.984705882,,,,,,,,,,
AFG,Afghanistan,2024,proj2,1,42647492,,,133,,1.183529412,1.984705882,,,,,,,,,,
AFG,Afghanistan,2025,current,2,,,,,,,,,,,,,,,,,
AFG,Afghanistan,2025,proj1,2,,,,,,,,,,,,,,,,,
AFG,Afghanistan,2025,proj2,1,,,,,,,,,,,,,,,,,
AGO,Angola,2019,current,2,32375632,70897962732,,25,,0.336235294,1.559705882,2818684,1066.6,51905.92,222.4,10102,1193.1,32257,221.1,5544.29,879.8
AGO,Angola,2019,proj1,4,32375632,70897962732,,25,,0.336235294,1.559705882,2818684,1066.6,51905.92,222.4,10102,1193.1,32257,221.1,5544.29,879.8
AGO,Angola,2019,proj2,1,32375632,70897962732,,25,,0.336235294,1.559705882,2818684,1066.6,51905.92,222.4,10102,1193.1,32257,221.1,5544.29,879.8
AGO,Angola,2021,current,3,34532429,66505129988,,,,0.336235294,1.402235294,2970208,1083.6,35000,218.8,10514,1226.6,34447,226.9,9368,931
AGO,Angola,2021,proj1,3,34532429,66505129988,,,,0.336235294,1.402235294,2970208,1083.6,35000,218.8,10514,1226.6,34447,226.9,9368,931
AGO,Angola,2021,proj2,1,34532429,66505129988,,,,0.336235294,1.402235294,2970208,1083.6,35000,218.8,10514,1226.6,34447,226.9,9368,931
BDI,Burundi,2017,current,2,11506762,2723586963,,,,,,228355,1297.7,10540.96,1107.1,88297.9,1783.8,25499,649.9,8060,398.2
BDI,Burundi,2017,proj1,2,11506762,2723586963,,,,,,228355,1297.7,10540.96,1107.1,88297.9,1783.8,25499,649.9,8060,398.2
BDI,Burundi,2017,proj2,1,11506762,2723586963,,,,,,228355,1297.7,10540.96,1107.1,88297.9,1783.8,25499,649.9,8060,398.2
BDI,Burundi,2018,current,1,11859446,2667182200,,,26,,,290498,1528.9,10486.88,1109.1,89296.2,1792.6,28472,669.7,22751,1409.2
BDI,Burundi,2018,proj1,2,11859446,2667182200,,,26,,,290498,1528.9,10486.88,1109.1,89296.2,1792.6,28472,669.7,22751,1409.2
BDI,Burundi,2018,proj2,1,11859446,2667182200,,,26,,,290498,1528.9,10486.88,1109.1,89296.2,1792.6,28472,669.7,22751,1409.2
BDI,Burundi,2020,current,1,12617036,2649680261,74.2,139,64,,,405650,1178.5,6285,1114.3,248102,1958.8,22172,536.9,4078,715
BDI,Burundi,2020,proj1,1,12617036,2649680261,74.2,139,64,,,405650,1178.5,6285,1114.3,248102,1958.8,22172,536.9,4078,715
BDI,Burundi,2020,proj2,1,12617036,2649680261,74.2,139,64,,,405650,1178.5,6285,1114.3,248102,1958.8,22172,536.9,4078,715
BDI,Burundi,2021,current,1,12965481,2775798697,,26,52,,,610450,1258.4,11994,1199.4,491662,1958.8,41533,543.1,9295,722.9
BDI,Burundi,2021,proj1,1,12965481,2775798697,,26,52,,,610450,1258.4,11994,1199.4,491662,1958.8,41533,543.1,9295,722.9
BDI,Burundi,2021,proj2,1,12965481,2775798697,,26,52,,,610450,1258.4,11994,1199.4,491662,1958.8,41533,543.1,9295,722.9
BDI,Burundi,2022,current,1,13321097,3338722828,,242,,,,1055585,1277.5,9481,948.1,453112,1958.8,41763,622.8,8142,734
BDI,Burundi,2022,proj1,1,13321097,3338722828,,242,,,,1055585,1277.5,9481,948.1,453112,1958.8,41763,622.8,8142,734
BDI,Burundi,2022,proj2,1,13321097,3338722828,,242,,,,1055585,1277.5,9481,948.1,453112,1958.8,41763,622.8,8142,734
BDI,Burundi,2023,current,2,13689450,2629391600,,93,,,,585624.5,1266.1,11000,1100,412369.01,1958.8,41676.67,622.8,7959.93,732.1
BDI,Burundi,2023,proj1,1,13689450,2629391600,,93,,,,585624.5,1266.1,11000,1100,412369.01,1958.8,41676.67,622.8,7959.93,732.1
BDI,Burundi,2023,proj2,1,13689450,2629391600,,93,,,,585624.5,1266.1,11000,1100,412369.01,1958.8,41676.67,622.8,7959.93,732.1
BDI,Burundi,2024,current,1,14047786,2162378759,,60,51,,,,,,,,,,,,
BDI,Burundi,2024,proj1,1,14047786,2162378759,,60,51,,,,,,,,,,,,
BDI,Burundi,2024,proj2,1,14047786,2162378759,,60,51,,,,,,,,,,,,
BEN,Benin,2020,current,1,13070169,15686741894,,,,0.446294118,1.189529412,1611615.13,1271.8,27293.54,1146.4,411578.14,3935.3,148235.93,1100.5,,
BEN,Benin,2020,proj1,1,13070169,15686741894,,,,0.446294118,1.189529412,1611615.13,1271.8,27293.54,1146.4,411578.14,3935.3,148235.93,1100.5,,
BEN,Benin,2020,proj2,1,13070169,15686741894,,,,0.446294118,1.189529412,1611615.13,1271.8,27293.54,1146.4,411578.14,3935.3,148235.93,1100.5,,
BEN,Benin,2021,current,1,13413417,17687623535,27.2,,,0.446294118,1.603705882,1628148.88,1206.4,23455.56,1010.1,519666.84,4100,133093.31,1007.4,,
BEN,Benin,2021,proj1,1,13413417,17687623535,27.2,,,0.446294118,1.603705882,1628148.88,1206.4,23455.56,1010.1,519666.84,4100,133093.31,1007.4,,
BEN,Benin,2021,proj2,1,13413417,17687623535,27.2,,,0.446294118,1.603705882,1628148.88,1206.4,23455.56,1010.1,519666.84,4100,133093.31,1007.4,,
BEN,Benin,2022,current,1,13759501,17425405084,,30,,0.446294118,0.971058824,1619605.06,1164.3,23990.04,935.2,525014.19,3893.6,124235.65,976,,
BEN,Benin,2022,proj1,1,13759501,17425405084,,30,,0.446294118,0.971058824,1619605.06,1164.3,23990.04,935.2,525014.19,3893.6,124235.65,976,,
BEN,Benin,2022,proj2,1,13759501,17425405084,,30,,0.446294118,0.971058824,1619605.06,1164.3,23990.04,935.2,525014.19,3893.6,124235.65,976,,
BEN,Benin,2023,current,1,14111034,19673290996,,28,,0.446294118,1.502647059,2059254,991.9,34229.06,717.1,492626.2,3730.7,150464.9,871.8,,
BEN,Benin,2023,proj1,1,14111034,19673290996,,28,,0.446294118,1.502647059,2059254,991.9,34229.06,717.1,492626.2,3730.7,150464.9,871.8,,
BEN,Benin,2023,proj2,1,14111034,19673290996,,28,,0.446294118,1.502647059,2059254,991.9,34229.06,717.1,492626.2,3730.7,150464.9,871.8,,
BEN,Benin,2024,current,1,14462724,21482643720,,77,,0.446294118,1.513411765,,,,,,,,,,
BEN,Benin,2024,proj1,1,14462724,21482643720,,77,,0.446294118,1.513411765,,,,,,,,,,
BEN,Benin,2024,proj2,1,14462724,21482643720,,77,,0.446294118,1.513411765,,,,,,,,,,
BEN,Benin,2025,current,1,,,,,,,,,,,,,,,,,
BEN,Benin,2025,proj1,1,,,,,,,,,,,,,,,,,
BEN,Benin,2025,proj2,1,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,2020,current,1,21478690,17725010533,,512,218,0.566941176,1.196647059,1920101,1762.5,957253,898.2,451421,2237.7,1839571,1060.5,,
BFA,Burkina Faso,2020,proj1,1,21478690,17725010533,,512,218,0.566941176,1.196647059,1920101,1762.5,957253,898.2,451421,2237.7,1839571,1060.5,,
BFA,Burkina Faso,2020,proj2,1,21478690,17725010533,,512,218,0.566941176,1.196647059,1920101,1762.5,957253,898.2,451421,2237.7,1839571,1060.5,,
BFA,Burkina Faso,2021,current,1,21995243,19697516284,42.1,991,35,0.566941176,1.625764706,1853510,1520.8,705344,722.4,451014,2040.3,1643722,899.6,,
BFA,Burkina Faso,2021,proj1,1,21995243,19697516284,42.1,991,35,0.566941176,1.625764706,1853510,1520.8,705344,722.4,451014,2040.3,1643722,899.6,,
BFA,Burkina Faso,2021,proj2,1,21995243,19697516284,42.1,991,35,0.566941176,1.625764706,1853510,1520.8,705344,722.4,451014,2040.3,1643722,899.6,,
BFA,Burkina Faso,2022,current,1,22509038,18820218691,,2093,196,0.566941176,0.837294118,1810276.28,1660.2,907744.77,870.1,438982.38,2211.8,2013868.96,1028.2,,
BFA,Burkina Faso,2022,proj1,1,22509038,18820218691,,2093,196,0.566941176,0.837294118,1810276.28,1660.2,907744.77,870.1,438982.38,2211.8,2013868.96,1028.2,,
BFA,Burkina Faso,2022,proj2,1,22509038,18820218691,,2093,196,0.566941176,0.837294118,1810276.28,1660.2,907744.77,870.1,438982.38,2211.8,2013868.96,1028.2,,
BFA,Burkina Faso,2023,current,1,23025776,20324617845,,4608,355,0.566941176,1.533764706,1995359.46,1636.7,861038.55,894,504254,2375.3,1772021.68,987.9,,
BFA,Burkina Faso,2023,proj1,1,23025776,20324617845,,4608,355,0.566941176,1.533764706,1995359.46,1636.7,861038.55,894,504254,2375.3,1772021.68,987.9,,
BFA,Burkina Faso,2023,proj2,1,23025776,20324617845,,4608,355,0.566941176,1.533764706,1995359.46,1636.7,861038.55,894,504254,2375.3,1772021.68,987.9,,
BFA,Burkina Faso,2024,current,1,23548781,23250214910,,2199,795,0.566941176,1.528411765,,,,,,,,,,
BFA,Burkina Faso,2024,proj1,1,23548781,23250214910,,2199,795,0.566941176,1.528411765,,,,,,,,,,
